split,k,objective,sample_count,loss_mean,loss_median,valid_pixels_mean,valid_pixels_median,gradient_abs_mean_mean,gradient_abs_mean_median,gradient_rms_mean,gradient_rms_median,gradient_abs_max_mean,gradient_abs_max_median,gradient_l1_mass_mean,gradient_l1_mass_median,gradient_nonzero_fraction_mean,gradient_nonzero_fraction_median,crop_pixels_mean,crop_pixels_median,crop_pixel_share_mean,crop_pixel_share_median,crop_gradient_mass_share_mean,crop_gradient_mass_share_median,crop_gradient_enrichment_mean,crop_gradient_enrichment_median,structure_pixels_mean,structure_pixels_median,structure_pixel_share_mean,structure_pixel_share_median,structure_gradient_mass_share_mean,structure_gradient_mass_share_median,structure_gradient_enrichment_mean,structure_gradient_enrichment_median,gt_boundary_pixels_mean,gt_boundary_pixels_median,gt_boundary_pixel_share_mean,gt_boundary_pixel_share_median,gt_boundary_gradient_mass_share_mean,gt_boundary_gradient_mass_share_median,gt_boundary_gradient_enrichment_mean,gt_boundary_gradient_enrichment_median,cosine_global_local_mean,cosine_global_local_median,cosine_global_edge_mean,cosine_global_edge_median,cosine_local_edge_mean,cosine_local_edge_median
train,0,combined_paper,12,0.09434518366470002,0.06869181554066017,196379.75,196608.0,6.9096445258765016e-06,7.024824071777402e-06,8.43799182348448e-06,8.580648227507481e-06,3.6567190212129695e-05,3.3485013773315586e-05,1.3568712969621022,1.3771876096725464,0.9999474585056305,0.9999745786190033,36845.5,36864.0,0.18762463461932113,0.1875,0.1794719323515892,0.18309816718101501,0.9564904389936743,0.9759137075698903,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.09862822107970715,0.09791955724358559,1.05126755284026,1.044475277264913,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.22386405865351358,0.1936723291873932,1.013384111762379,1.0398295976117842,0.29727481802304584,0.32159189879894257,0.0391236844783028,0.03185168839991093,0.287406491736571,0.2977277487516403
train,0,edge_legacy_max,12,0.0008355662915467595,0.0008242106414400041,196379.75,196608.0,2.294516529370109e-06,2.155752781618503e-06,3.28985712864475e-06,3.1901433885650476e-06,1.1423403899849896e-05,1.1315545179968467e-05,0.4505657156308492,0.42383822798728943,0.9972139596939087,0.9978078305721283,36845.5,36864.0,0.18762463461932113,0.1875,0.158394663905104,0.15980805456638336,0.8439873819602265,0.8523096243540446,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.08285517866412799,0.08075069636106491,0.883116173119891,0.8613407611846924,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.14963569957762957,0.12641369923949242,0.6133704735134063,0.4993698964395664,0.29727481802304584,0.32159189879894257,0.0391236844783028,0.03185168839991093,0.287406491736571,0.2977277487516403
train,0,edge_paper_min,12,0.0011140884307678789,0.0010989475413225591,196379.75,196608.0,3.0593554735484454e-06,2.8743371558448416e-06,4.386476310476913e-06,4.253524821251631e-06,1.5231206286140756e-05,1.508739433120354e-05,0.600754310687383,0.5651176571846008,0.9972139596939087,0.9978078305721283,36845.5,36864.0,0.18762463461932113,0.1875,0.15839466080069542,0.15980805456638336,0.8439873654336472,0.8523096243540446,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.08285517897456884,0.08075069263577461,0.8831161764727438,0.8613407214482626,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.14963569988807043,0.12641369551420212,0.6133704774018237,0.4993699038408058,0.29727481802304584,0.32159189879894257,0.0391236844783028,0.03185168839991093,0.287406491736571,0.2977277487516403
train,0,global,12,0.042133517020071544,0.03315013460814953,196379.75,196608.0,2.147532370599947e-06,2.2231791945159785e-06,2.3042250158293123e-06,2.3790133809598046e-06,9.215217573910195e-06,7.263643738042447e-06,0.4217693706353505,0.4370947927236557,1.0,1.0,36845.5,36864.0,0.18762463461932113,0.1875,0.17953905276954174,0.1807330995798111,0.9569250247751803,0.9639098644256592,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.10206936051448186,0.1007634848356247,1.0878400424164185,1.07481050491333,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.20638896400729814,0.1746254488825798,0.9475211245111576,0.9652662722956062,0.29727481802304584,0.32159189879894257,0.0391236844783028,0.03185168839991093,0.287406491736571,0.2977277487516403
train,0,local,12,0.051097578213860594,0.031295303255319595,196379.75,196608.0,4.306071105020237e-06,4.284124770492781e-06,5.080365137170399e-06,5.060783223598264e-06,2.4016495520603105e-05,2.1639441001752857e-05,0.8456095407406489,0.8422932028770447,0.9965422451496124,0.9967173337936401,36845.5,36864.0,0.18762463461932113,0.1875,0.18439210082093874,0.1857268139719963,0.9828488475799722,0.990543007850647,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.10500446396569411,0.10219954326748848,1.1192652564808816,1.089420303188162,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.2302058587471644,0.20317719131708145,1.0687318148046658,1.1061681371923067,0.29727481802304584,0.32159189879894257,0.0391236844783028,0.03185168839991093,0.287406491736571,0.2977277487516403
train,3,combined_paper,12,0.08027933094611701,0.05765476735541597,196379.75,196608.0,7.445698050408585e-06,7.452508725691587e-06,8.993733672468807e-06,9.05093611436314e-06,3.8826436745390915e-05,3.2258745704893954e-05,1.462205598751704,1.4610422849655151,0.9999381254116694,0.9999873042106628,36845.5,36864.0,0.18762463461932113,0.1875,0.17042492826779684,0.16789212822914124,0.9083410769642383,0.8949953317642212,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.09408247967561086,0.09067637845873833,1.0028564433164666,0.9672147035598755,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.20827563479542732,0.18741272389888763,0.95410176690249,0.9501551435453499,0.4117203652858734,0.40384645760059357,0.07613827008754015,0.07095647603273392,0.32053029785553616,0.31731465458869934
train,3,edge_legacy_max,12,0.0009577559879592931,0.0009343229758087546,196379.75,196608.0,2.6852739741419405e-06,2.622462943691062e-06,3.50504630356833e-06,3.4567151487863157e-06,1.1712947070918744e-05,1.1437974535510875e-05,0.5273133739829063,0.5155971646308899,0.9965861340363821,0.9976697266101837,36845.5,36864.0,0.18762463461932113,0.1875,0.15798110887408257,0.15207120776176453,0.8418573306098439,0.8113974676837099,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.08325854285309713,0.08110435679554939,0.8874452617846859,0.8650897440314239,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.14500892659028372,0.13362643122673035,0.6080946556944917,0.5495176182540424,0.4117203652858734,0.40384645760059357,0.07613827008754015,0.07095647603273392,0.32053029785553616,0.31731465458869934
train,3,edge_paper_min,12,0.0012770080065820366,0.001245763967745006,196379.75,196608.0,3.5803654441224353e-06,3.496617523524037e-06,4.673395286166245e-06,4.608953531715088e-06,1.5617263215972343e-05,1.5250631804519799e-05,0.7030845383803049,0.6874629557132721,0.9965861340363821,0.9976697266101837,36845.5,36864.0,0.18762463461932113,0.1875,0.15798110080262026,0.15207119286060333,0.8418572875604631,0.8113973881766574,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.08325854099045198,0.0811043530702591,0.8874452418669322,0.8650897042971497,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.14500892690072456,0.13362643122673035,0.6080946503700234,0.5495175551807239,0.4117203652858734,0.40384645760059357,0.07613827008754015,0.07095647603273392,0.32053029785553616,0.31731465458869934
train,3,global,12,0.035040816524997354,0.02773764729499817,196379.75,196608.0,1.93420424920987e-06,2.0092195427423576e-06,2.128843666090082e-06,2.19528362777055e-06,9.5468937691597e-06,7.788415587128839e-06,0.37986455609401065,0.39502863585948944,1.0,1.0,36845.5,36864.0,0.18762463461932113,0.1875,0.1877071832617124,0.19128752499818802,1.0004482230614071,1.0202001333236694,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.10296032826105754,0.10435643792152405,1.0972973771056425,1.1124239935194642,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.2218818043669065,0.18772834539413452,1.0344831659283888,1.0669370507509142,0.4117203652858734,0.40384645760059357,0.07613827008754015,0.07095647603273392,0.32053029785553616,0.31731465458869934
train,3,local,12,0.04396150641453763,0.027971811592578888,196379.75,196608.0,4.4951789277547505e-06,4.493457254284294e-06,5.270492200300699e-06,5.245075954007916e-06,2.473804003481443e-05,1.9617706129793078e-05,0.882795532544454,0.8834495842456818,0.996839220325152,0.9968398809432983,36845.5,36864.0,0.18762463461932113,0.1875,0.1711194378634294,0.17238829284906387,0.9121795637705485,0.918834162654623,18422.916666666668,18432.0,0.0938131662916634,0.09375,0.09886244684457779,0.09560071676969528,1.053782352275952,1.019105498383599,43177.333333333336,38659.0,0.22000812417383023,0.19664893996375993,0.2127491074303786,0.1900467947125435,1.001012158875698,1.0249164185792983,0.4117203652858734,0.40384645760059357,0.07613827008754015,0.07095647603273392,0.32053029785553616,0.31731465458869934
