sample_id,scene,frame,split,k,objective,loss,valid_pixels,gradient_abs_mean,gradient_rms,gradient_abs_max,gradient_l1_mass,gradient_nonzero_fraction,crop_pixels,crop_pixel_share,crop_gradient_mass_share,crop_gradient_enrichment,structure_pixels,structure_pixel_share,structure_gradient_mass_share,structure_gradient_enrichment,gt_boundary_pixels,gt_boundary_pixel_share,gt_boundary_gradient_mass_share,gt_boundary_gradient_enrichment,cosine_global_local,cosine_global_edge,cosine_local_edge
ai_011_009_cam_01_frame.0099,ai_011_009,99,train,3,edge_legacy_max,0.0010763566242530942,195474,2.427087110845605e-06,3.3011524465109687e-06,1.2141267689003143e-05,0.47443240880966187,0.9938815236091614,36697,0.1877334070004195,0.1233329027891159,0.6569576760988539,18349,0.09386926138514586,0.06169333681464195,0.6572261878306894,61063,0.3123842557066413,0.15850356221199036,0.5073993305246484,0.3319360613822937,0.06762217730283737,0.31821420788764954
ai_011_009_cam_01_frame.0099,ai_011_009,99,train,3,edge_paper_min,0.0014351422432810068,195474,3.23611629937659e-06,4.401536898512859e-06,1.6188359950319864e-05,0.632576584815979,0.9938815236091614,36697,0.1877334070004195,0.12333289533853531,0.656957636411828,18349,0.09386926138514586,0.06169333681464195,0.6572261878306894,61063,0.3123842557066413,0.15850354731082916,0.5073992828232649,0.3319360613822937,0.06762217730283737,0.31821420788764954
ai_011_009_cam_01_frame.0099,ai_011_009,99,train,3,combined_paper,0.07529546529985964,195474,7.373075732175494e-06,8.923570021579508e-06,4.135756898904219e-05,1.4412446022033691,1.0,36697,0.1877334070004195,0.16002650558948517,0.8524135802272399,18349,0.09386926138514586,0.08473286777734756,0.9026689517635422,61063,0.3123842557066413,0.2914915084838867,0.9331184371776571,0.3319360613822937,0.06762217730283737,0.31821420788764954
ai_024_018_cam_00_frame.0099,ai_024_018,99,train,0,global,0.02877562679350376,196608,2.340305172765511e-06,2.423913883831119e-06,6.166086677694693e-06,0.4601227045059204,1.0,36864,0.1875,0.1957370638847351,1.043931007385254,18432,0.09375,0.11280298978090286,1.2032318909962971,58568,0.2978922526041667,0.28689029812812805,0.9630673359919238,0.3385251462459564,0.07327114045619965,0.32688531279563904
ai_024_018_cam_00_frame.0099,ai_024_018,99,train,0,local,0.03951350599527359,196608,4.606688435160322e-06,5.301877536112443e-06,1.8498258214094676e-05,0.9057117700576782,0.9962209463119507,36864,0.1875,0.20757204294204712,1.107050895690918,18432,0.09375,0.1185494139790535,1.2645270824432373,58568,0.2978922526041667,0.33402320742607117,1.1212886689937338,0.3385251462459564,0.07327114045619965,0.32688531279563904
ai_024_018_cam_00_frame.0099,ai_024_018,99,train,0,edge_legacy_max,0.0011805160902440548,196608,2.181876880058553e-06,3.059104756175657e-06,1.1187857126060408e-05,0.428974449634552,0.9955190420150757,36864,0.1875,0.1618955284357071,0.8634428183237711,18432,0.09375,0.08113269507884979,0.8654154141743978,58568,0.2978922526041667,0.24741868674755096,0.8305643553486972,0.3385251462459564,0.07327114045619965,0.32688531279563904
ai_024_018_cam_00_frame.0099,ai_024_018,99,train,0,edge_paper_min,0.0015740215312689543,196608,2.9091693249938544e-06,4.078806341567542e-06,1.491714283474721e-05,0.5719659328460693,0.9955190420150757,36864,0.1875,0.1618955284357071,0.8634428183237711,18432,0.09375,0.08113269507884979,0.8654154141743978,58568,0.2978922526041667,0.24741871654987335,0.8305644553926632,0.3385251462459564,0.07327114045619965,0.32688531279563904
ai_024_018_cam_00_frame.0099,ai_024_018,99,train,0,combined_paper,0.0698631543200463,196608,7.190608812379651e-06,8.655040801386349e-06,2.7899570341105573e-05,1.4137312173843384,0.9998525381088257,36864,0.1875,0.19318228960037231,1.030305544535319,18432,0.09375,0.10554086416959763,1.1257692178090413,58568,0.2978922526041667,0.328005850315094,1.1010888918650115,0.3385251462459564,0.07327114045619965,0.32688531279563904
ai_024_018_cam_00_frame.0099,ai_024_018,99,train,3,global,0.020816290751099586,196608,1.989393240364734e-06,2.151085709556355e-06,6.383495929185301e-06,0.39113062620162964,1.0,36864,0.1875,0.2093752920627594,1.1166682243347168,18432,0.09375,0.11098533123731613,1.1838435331980388,58568,0.2978922526041667,0.31638336181640625,1.0620731457451167,0.42966291308403015,0.10882047563791275,0.2907869517803192
ai_024_018_cam_00_frame.0099,ai_024_018,99,train,3,local,0.02659640461206436,196608,4.5237766244099475e-06,5.231394425209146e-06,1.831150075304322e-05,0.8894106149673462,0.9963480830192566,36864,0.1875,0.178492471575737,0.9519598484039307,18432,0.09375,0.09741780161857605,1.0391232172648113,58568,0.2978922526041667,0.2903003394603729,0.9745145666682318,0.42966291308403015,0.10882047563791275,0.2907869517803192
