split,k,objective,sample_count,loss_mean,loss_median,valid_pixels_mean,valid_pixels_median,gradient_abs_mean_mean,gradient_abs_mean_median,gradient_rms_mean,gradient_rms_median,gradient_abs_max_mean,gradient_abs_max_median,gradient_l1_mass_mean,gradient_l1_mass_median,gradient_nonzero_fraction_mean,gradient_nonzero_fraction_median,crop_pixels_mean,crop_pixels_median,crop_pixel_share_mean,crop_pixel_share_median,crop_gradient_mass_share_mean,crop_gradient_mass_share_median,crop_gradient_enrichment_mean,crop_gradient_enrichment_median,structure_pixels_mean,structure_pixels_median,structure_pixel_share_mean,structure_pixel_share_median,structure_gradient_mass_share_mean,structure_gradient_mass_share_median,structure_gradient_enrichment_mean,structure_gradient_enrichment_median,gt_boundary_pixels_mean,gt_boundary_pixels_median,gt_boundary_pixel_share_mean,gt_boundary_pixel_share_median,gt_boundary_gradient_mass_share_mean,gt_boundary_gradient_mass_share_median,gt_boundary_gradient_enrichment_mean,gt_boundary_gradient_enrichment_median,cosine_global_local_mean,cosine_global_local_median,cosine_global_edge_mean,cosine_global_edge_median,cosine_local_edge_mean,cosine_local_edge_median
train,0,combined_paper,1,0.07308563531842083,0.07308563531842083,196569.0,196569.0,7.202836513897637e-06,7.202836513897637e-06,8.702229024493136e-06,8.702229024493136e-06,2.7539754228200763e-05,2.7539754228200763e-05,1.4158543348312378,1.4158543348312378,1.0,1.0,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.15534038841724396,0.15534038841724396,0.8291949711008615,0.8291949711008615,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.07789547741413116,0.07789547741413116,0.8315774778590316,0.8315774778590316,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.21594753861427307,0.21594753861427307,1.121495157671573,1.121495157671573,0.41220009326934814,0.41220009326934814,0.07528342306613922,0.07528342306613922,0.2995939254760742,0.2995939254760742
train,0,edge_legacy_max,1,0.0008388939313590527,0.0008388939313590527,196569.0,196569.0,2.043988615696435e-06,2.043988615696435e-06,2.9768179956590757e-06,2.9768179956590757e-06,1.0910035598499235e-05,1.0910035598499235e-05,0.4017847776412964,0.4017847776412964,0.9958691596984863,0.9958691596984863,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.14476823806762695,0.14476823806762695,0.7727616507458347,0.7727616507458347,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.058107513934373856,0.058107513934373856,0.6203299791759048,0.6203299791759048,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.17999491095542908,0.17999491095542908,0.9347799115349469,0.9347799115349469,0.41220009326934814,0.41220009326934814,0.07528342306613922,0.07528342306613922,0.2995939254760742,0.2995939254760742
train,0,edge_paper_min,1,0.0011185252806171775,0.0011185252806171775,196569.0,196569.0,2.7253183816355886e-06,2.7253183816355886e-06,3.969090812461218e-06,3.969090812461218e-06,1.4546716556651518e-05,1.4546716556651518e-05,0.5357130765914917,0.5357130765914917,0.9958691596984863,0.9958691596984863,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.14476820826530457,0.14476820826530457,0.7727614916633443,0.7727614916633443,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.058107513934373856,0.058107513934373856,0.6203299791759048,0.6203299791759048,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.17999491095542908,0.17999491095542908,0.9347799115349469,0.9347799115349469,0.41220009326934814,0.41220009326934814,0.07528342306613922,0.07528342306613922,0.2995939254760742,0.2995939254760742
train,0,global,1,0.03428635746240616,0.03428635746240616,196569.0,196569.0,2.304545205333852e-06,2.304545205333852e-06,2.4061014300968964e-06,2.4061014300968964e-06,5.494370270753279e-06,5.494370270753279e-06,0.4530021548271179,0.4530021548271179,1.0,1.0,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.17542386054992676,0.17542386054992676,0.9363989910234501,0.9363989910234501,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.09641294926404953,0.09641294926404953,1.0292617728716098,1.0292617728716098,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.18267983198165894,0.18267983198165894,0.9487236959789357,0.9487236959789357,0.41220009326934814,0.41220009326934814,0.07528342306613922,0.07528342306613922,0.2995939254760742,0.2995939254760742
train,0,local,1,0.03768075257539749,0.03768075257539749,196569.0,196569.0,4.653236373997061e-06,4.653236373997061e-06,5.402244369179243e-06,5.402244369179243e-06,1.646379860176239e-05,1.646379860176239e-05,0.9146819710731506,0.9146819710731506,0.9970646500587463,0.9970646500587463,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.16567391157150269,0.16567391157150269,0.8843545179551584,0.8843545179551584,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.08934693038463593,0.08934693038463593,0.9538280974733884,0.9538280974733884,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.20847997069358826,0.20847997069358826,1.0827133252118348,1.0827133252118348,0.41220009326934814,0.41220009326934814,0.07528342306613922,0.07528342306613922,0.2995939254760742,0.2995939254760742
train,3,combined_paper,1,0.06692697026301175,0.06692697026301175,196569.0,196569.0,7.770351658109576e-06,7.770351658109576e-06,9.301191312260926e-06,9.301191312260926e-06,2.7739160941564478e-05,2.7739160941564478e-05,1.5274102687835693,1.5274102687835693,1.0,1.0,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.15370331704616547,0.15370331704616547,0.8204564108200325,0.8204564108200325,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.08089509606361389,0.08089509606361389,0.863600072673031,0.863600072673031,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.20627911388874054,0.20627911388874054,1.0712834646762441,1.0712834646762441,0.5030761361122131,0.5030761361122131,0.09460671246051788,0.09460671246051788,0.30591097474098206,0.30591097474098206
train,3,edge_legacy_max,1,0.0009465956245549023,0.0009465956245549023,196569.0,196569.0,2.5548636131134117e-06,2.5548636131134117e-06,3.308620762254577e-06,3.308620762254577e-06,1.0883527465921361e-05,1.0883527465921361e-05,0.5022069811820984,0.5022069811820984,0.9967136383056641,0.9967136383056641,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.15297375619411469,0.15297375619411469,0.8165620714547435,0.8165620714547435,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.07078297436237335,0.07078297436237335,0.7556475581077157,0.7556475581077157,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.1575111299753189,0.1575111299753189,0.8180133502805407,0.8180133502805407,0.5030761361122131,0.5030761361122131,0.09460671246051788,0.09460671246051788,0.30591097474098206,0.30591097474098206
train,3,edge_paper_min,1,0.0012621275382116437,0.0012621275382116437,196569.0,196569.0,3.406484893275774e-06,3.406484893275774e-06,4.41149450125522e-06,4.41149450125522e-06,1.4511370864056516e-05,1.4511370864056516e-05,0.6696093082427979,0.6696093082427979,0.9967136383056641,0.9967136383056641,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.15297375619411469,0.15297375619411469,0.8165620714547435,0.8165620714547435,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.07078298181295395,0.07078298181295395,0.7556476376468009,0.7556476376468009,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.1575111448764801,0.1575111448764801,0.8180134276677626,0.8180134276677626,0.5030761361122131,0.5030761361122131,0.09460671246051788,0.09460671246051788,0.30591097474098206,0.30591097474098206
train,3,global,1,0.03017297014594078,0.03017297014594078,196569.0,196569.0,2.289987378389924e-06,2.289987378389924e-06,2.386871301496285e-06,2.386871301496285e-06,5.5262157729885075e-06,5.5262157729885075e-06,0.4501405358314514,0.4501405358314514,1.0,1.0,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.16825667023658752,0.16825667023658752,0.8981410838217453,0.8981410838217453,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.08934758603572845,0.08934758603572845,0.9538350969128935,0.9538350969128935,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.18327319622039795,0.18327319622039795,0.9518052551610939,0.9518052551610939,0.5030761361122131,0.5030761361122131,0.09460671246051788,0.09460671246051788,0.30591097474098206,0.30591097474098206
train,3,local,1,0.03549187257885933,0.03549187257885933,196569.0,196569.0,4.827609245694475e-06,4.827609245694475e-06,5.565447281696834e-06,5.565447281696834e-06,1.6574658729950897e-05,1.6574658729950897e-05,0.9489582777023315,0.9489582777023315,0.9974309206008911,0.9974309206008911,36825.0,36825.0,0.18733879706362652,0.18733879706362652,0.1572052538394928,0.1572052538394928,0.8391494783971557,0.8391494783971557,18413.0,18413.0,0.09367194216789015,0.09367194216789015,0.08576507121324539,0.08576507121324539,0.915589761761605,0.915589761761605,37850.0,37850.0,0.19255325102126988,0.19255325102126988,0.2024131417274475,0.2024131417274475,1.0512060463995412,1.0512060463995412,0.5030761361122131,0.5030761361122131,0.09460671246051788,0.09460671246051788,0.30591097474098206,0.30591097474098206
val,0,combined_paper,1,0.0779208563035354,0.0779208563035354,196608.0,196608.0,5.283881364448462e-06,5.283881364448462e-06,6.580866283911746e-06,6.580866283911746e-06,3.1907897209748626e-05,3.1907897209748626e-05,1.0388532876968384,1.0388532876968384,1.0,1.0,36864.0,36864.0,0.1875,0.1875,0.19503279030323029,0.19503279030323029,1.0401748816172283,1.0401748816172283,18432.0,18432.0,0.09375,0.09375,0.1017993912100792,0.1017993912100792,1.0858601729075115,1.0858601729075115,19056.0,19056.0,0.096923828125,0.096923828125,0.10681375116109848,0.10681375116109848,1.102038097621812,1.102038097621812,0.14894434809684753,0.14894434809684753,0.007075743284076452,0.007075743284076452,0.22051532566547394,0.22051532566547394
