sample_directory,sample_id,snapshot,step,training_stage,k,scope,point_rel,depth_rel,depth_delta_1.01,depth_delta_1.25,boundary_f1
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,1,structure,0.1906721591949463,0.17074811458587646,0.08850181847810745,0.841879665851593,0.6123239398002625
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,3,full,0.1455439031124115,0.12164153903722763,0.3094492256641388,0.8377012014389038,0.9484434723854065
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,3,crop,0.140702024102211,0.12738123536109924,0.23574258387088776,0.8553096055984497,0.9609407186508179
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,3,structure,0.1906721591949463,0.17074811458587646,0.08850181847810745,0.841879665851593,0.6123239398002625
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,5,full,0.1455439031124115,0.12164153903722763,0.3094492256641388,0.8377012014389038,0.9484434723854065
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,5,crop,0.140702024102211,0.12738123536109924,0.23574258387088776,0.8553096055984497,0.9609407186508179
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,initial,0,initial,5,structure,0.1906721591949463,0.17074811458587646,0.08850181847810745,0.841879665851593,0.6123239398002625
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,0,full,0.00562098016962409,0.004909689538180828,0.9553279280662537,0.9956152439117432,0.9789674878120422
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,0,crop,0.011100600473582745,0.010050653479993343,0.9019209146499634,0.9890390634536743,0.9889258146286011
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,0,structure,0.010552862659096718,0.009589281864464283,0.889359176158905,0.9919149279594421,0.9235005974769592
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,1,full,0.0039431145414710045,0.0034899499733000994,0.9787474870681763,0.9979043006896973,0.9835785031318665
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,1,crop,0.006880746688693762,0.006085819564759731,0.9610125422477722,0.9949536323547363,0.9942426085472107
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,1,structure,0.006540538277477026,0.0058156284503638744,0.9526833295822144,0.996581494808197,0.9587458968162537
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,3,full,0.002573729492723942,0.0022402971517294645,0.9930921792984009,0.9985960721969604,0.98712557554245
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,3,crop,0.003996395040303469,0.003675320651382208,0.9871127605438232,0.9979652166366577,0.9952598810195923
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,3,structure,0.004278641659766436,0.00382086425088346,0.9854034781455994,0.997612476348877,0.9867981672286987
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,5,full,0.0033924179151654243,0.002976172138005495,0.9932142496109009,0.998611330986023,0.9865193963050842
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,5,crop,0.00605391152203083,0.005670382175594568,0.9877638816833496,0.9980465769767761,0.9963098764419556
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,stage1,5000,detached,5,structure,0.00614102091640234,0.00560748903080821,0.9846980571746826,0.997503936290741,0.9917330145835876
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,0,full,0.006369015667587519,0.005781169049441814,0.954620897769928,0.9956610202789307,0.980080783367157
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,0,crop,0.011334633454680443,0.010397855192422867,0.8862662315368652,0.9893375039100647,0.9911125302314758
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,0,structure,0.010979597456753254,0.009998303838074207,0.8623908162117004,0.9920777082443237,0.9223548769950867
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,1,full,0.0043815625831484795,0.004052062053233385,0.9741490483283997,0.9980518221855164,0.9839587807655334
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,1,crop,0.0069382572546601295,0.006295477971434593,0.9460632801055908,0.9952791929244995,0.9953261613845825
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,1,structure,0.008063091896474361,0.007286666892468929,0.9291877150535583,0.9969613552093506,0.9638400077819824
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,3,full,0.002789333462715149,0.0025535880122333765,0.9935194849967957,0.998733401298523,0.9876981973648071
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,3,crop,0.002782692201435566,0.0024701408110558987,0.9883336424827576,0.9983721375465393,0.9978479146957397
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,3,structure,0.0033663343638181686,0.0029741721227765083,0.9868143200874329,0.9984264373779297,0.9935391545295715
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,5,full,0.002696024486795068,0.002467042300850153,0.9947708249092102,0.998728334903717,0.9873111844062805
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,5,crop,0.002888171235099435,0.0025603827089071274,0.9924033284187317,0.9985077977180481,0.9978480935096741
05_ai_053_018_cam_00_frame.0000,ai_053_018_cam_00_frame.0000,final,7000,joint_best,5,structure,0.0036054360680282116,0.0031874789856374264,0.9889847636222839,0.9981551170349121,0.9936418533325195
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,0,full,0.03742309659719467,0.03462597355246544,0.4956563413143158,0.9667307734489441,0.8582285046577454
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,0,crop,0.0830521509051323,0.08067122846841812,0.2174750417470932,0.881944477558136,0.8854671716690063
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,0,structure,0.08064333349466324,0.07915402948856354,0.0928819477558136,0.9293619990348816,0.6624513268470764
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,1,full,0.03742309659719467,0.03462597355246544,0.4956563413143158,0.9667307734489441,0.8582285046577454
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,1,crop,0.0830521509051323,0.08067122846841812,0.2174750417470932,0.881944477558136,0.8854671716690063
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,1,structure,0.08064333349466324,0.07915402948856354,0.0928819477558136,0.9293619990348816,0.6624513268470764
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,3,full,0.03742309659719467,0.03462597355246544,0.4956563413143158,0.9667307734489441,0.8582285046577454
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,3,crop,0.0830521509051323,0.08067122846841812,0.2174750417470932,0.881944477558136,0.8854671716690063
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,3,structure,0.08064333349466324,0.07915402948856354,0.0928819477558136,0.9293619990348816,0.6624513268470764
06_ai_002_003_cam_00_frame.0000,ai_002_003_cam_00_frame.0000,initial,0,initial,5,full,0.03742309659719467,0.03462597355246544,0.4956563413143158,0.9667307734489441,0.8582285046577454
