batch_id,split,pair_index,sample_ids,objective,parameter_group,parameter_numel,active_parameter_numel,active_parameter_tensors,gradient_l2,gradient_rms,gradient_l1,gradient_abs_max,gradient_nonzero_fraction
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,global,input_fusion,262496,262496,3,0.08002173095032794,0.00015618761614920418,19.47578168112682,0.0019336388213559985,1.0
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,global,output,33,33,2,2.2182940139455356,0.38615542216819493,10.448521276004612,0.7977805137634277,1.0
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,local,bottleneck,28708864,28708864,13,0.03500159464185537,6.5325061445186e-06,133.43252633815052,0.00015916541451588273,1.0
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,local,decoder,10970880,10970880,56,0.06612299051732519,1.996327340414193e-05,105.78242197547326,0.0015118707669898868,0.9992532048477424
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,local,encoder,10796800,10796800,52,0.04757683685241721,1.4479315664282973e-05,107.08275235733664,0.0005383355892263353,0.9992412566686426
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,local,input_fusion,262496,262496,3,0.018778983440841678,3.6653101882425866e-05,5.590723012645398,0.0003775839286390692,1.0
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,local,output,33,33,2,1.9681718116874767,0.34261473549663507,9.467512661125511,0.6699209213256836,1.0
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,edge_paper,bottleneck,28708864,28708864,13,0.001965525483543565,3.668349236609414e-07,7.238560580217737,1.0334275430068374e-05,1.0
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,edge_paper,decoder,10970880,10970880,56,0.003891223763786848,1.1748041530701389e-06,4.770243566450401,8.855763007886708e-05,0.9992532959981333
val_effective_08,val,-1,ai_043_002_cam_00_frame.0000|ai_043_002_cam_00_frame.0014|ai_043_002_cam_00_frame.0028|ai_043_002_cam_00_frame.0042|ai_043_002_cam_00_frame.0057|ai_043_002_cam_00_frame.0071|ai_043_002_cam_00_frame.0085|ai_043_002_cam_00_frame.0099,edge_paper,encoder,10796800,10796800,52,0.0028057870456227097,8.539003222586684e-07,5.970645078654483,3.7132598663447425e-05,0.9992412566686426
